politician_id,politician_name,first_name,last_name,gender,birth_year,death_year,first_year_in_HoC,last_year_in_HoC,n_parliaments,ever_cabinet,parties,has_relative,closeness,relative_chamber,multiple_relatives,relation_types,n_relatives_detected,relative_preceded,peerage_linked_flag,relative_examples,rush_cousin_mp,rush_cousin_names,has_relative_incl_cousins,rushid,peerageid,whoswhoid,oxnatbibid,father_name,father_id,mother_name,mother_id
Q5314705,Duncombe Pleydell-Bouverie,Duncombe,Pleydell-Bouverie,male,1780,1850,1831,1834,2,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Philip Pleydell-Bouverie,0,,1,3274,35184,,,"Jacob Pleydell-Bouverie, 2nd Earl of Radnor",Q6119110,Anne Duncombe,Q75272606
Q7364764,Ronald Craufurd Ferguson,Ronald,Craufurd Ferguson,male,1773,1841,1831,1841,4,0,,1,child,HoC,1,child; grandchild,2,0,0,"child: Robert Ferguson | grandchild: Ronald Munro Ferguson, 1st Viscount Novar",0,,1,6775,,,9327,,,,
Q7344305,Robert Ferguson of Raith,Robert,Ferguson of Raith,male,1769,1840,1831,1840,4,0,,1,child,HoC,1,child; grandchild,2,0,1,"child: Sir Henry Ferguson Davie, 1st Baronet | grandchild: Sir John Ferguson Davie, 2nd Baronet",0,,1,6447,274680,,,,,,
Q5344180,"Edward Lloyd, 1st Baron Mostyn",Edward,Lloyd,male,1768,1854,1831,1831,1,0,,1,child,HoC,1,child; grandchild,2,0,1,"child: Edward Lloyd-Mostyn, 2nd Baron Mostyn | grandchild: Thomas Lloyd-Mostyn",0,,1,,517578,,,Bell Lloyd,Q76081800,Anne Pryce,Q76081802
Q7609831,Stephen Lushington,Stephen,Lushington,male,1782,1873,1831,1841,4,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Charles Lushington,0,,1,4787,159807,,17213,"Sir Stephen Lushington, 1st Baronet",Q7528989,Hester Boldero,Q63347947
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Charles,Wentworth-Fitzwilliam,male,1786,1857,1831,1833,2,0,,1,child,HoC,1,child; grandchild,7,0,1,"child: William Wentworth-Fitzwilliam, 6th Earl Fitzwilliam | child: Charles Wentworth-FitzWilliam | grandchild: Henry Wentworth-FitzWilliam",0,,1,5265,27148,,9653,"William Fitzwilliam, 4th Earl Fitzwilliam",Q8009134,Lady Charlotte Ponsonby,Q75270999
Q652514,"Alexander Baring, 1st Baron Ashburton",Alexander,Baring,male,1774,1848,1831,1835,3,1,,1,child,HoC,1,child; sibling; grandchild; nephew/niece,6,0,1,"child: Francis Baring, 3rd Baron Ashburton | child: Bingham Baring, 2nd Baron Ashburton | sibling: Sir Thomas Baring, 2nd Baronet | grandchild: Alexander Baring, 4th Baron Ashburton | nephew/niece: Thomas Baring",0,,1,6533,11961,,1380,"Sir Francis Baring, 1st Baronet",Q5565890,Lady Harriet Baring,Q40348084
Q7529312,"Sir Thomas Winnington, 3rd Baronet",Thomas,Winnington,male,1779,1839,1831,1837,3,0,,1,child,HoC,1,child; sibling,2,0,1,"child: Sir Thomas Winnington, 4th Baronet | sibling: Henry Winnington",0,,1,,35384,,,"Sir Edward Winnington, 2nd Baronet",Q7526628,Anne Foley,Q75281533
Q24254897,Henry Clive,Henry,Clive,male,1777,1848,1831,1832,1,0,,1,sibling,HoC,1,sibling; nephew/niece,2,0,1,sibling: Edward Clive | nephew/niece: George Clive,0,,1,,320544,,,George Clive,Q75257852,Sidney Bolton,Q75760923
Q6256761,"John Savile, 3rd Earl of Mexborough",John,Savile,male,1783,1860,1831,1832,1,0,,1,child,HoC,0,child,1,0,1,"child: John Savile, 4th Earl of Mexborough",0,,1,,20443,,,"John Savile, 2nd Earl of Mexborough",Q6256759,Elizabeth Stephenson,Q75269729
Q25689,"Francis Russell, 7th Duke of Bedford",Francis,Russell,male,1788,1861,1831,1832,1,0,,1,child,HoC,1,child; sibling; nephew/niece,6,0,1,"child: William Russell, 8th Duke of Bedford | sibling: John Russell, 1st Earl Russell | sibling: Lord Charles Russell | nephew/niece: John Russell, Viscount Amberley",0,,1,,14120,,,"John Russell, 6th Duke of Bedford",Q25690,Georgiana Byng,Q75261341
Q181875,Robert Peel,Robert,Peel,male,1788,1850,1831,1850,6,1,Conservative Party; Peelite; Tories,1,child,HoC,1,child; sibling; grandchild,9,0,1,child: Arthur Peel | child: Frederick Peel | sibling: Edmund Peel | sibling: Jonathan Peel | grandchild: Sidney Peel,0,,1,6462,29645,,21764,"Sir Robert Peel, 1st Baronet",Q6039510,Ellen Yates,Q75318713
Q6661642,"Sir John Beresford, 1st Baronet",John,Beresford,male,1766,1844,1831,1837,3,0,,1,child,HoC,0,child,1,0,1,"child: Sir George Beresford, 2nd Baronet",0,,1,6558,129600,,2197,"George Beresford, 1st Marquess of Waterford",Q886541,,
Q7527984,"Sir John Owen, 1st Baronet",John,Owen,male,1776,1861,1831,1861,9,0,,1,child,HoC,0,child,1,0,1,"child: Sir Hugh Owen Owen, 2nd Baronet",0,,1,7090,239034,,,Joseph Lord,Q75604153,Corbetta Owen,Q75604152
Q4666622,Abel Smith,Abel,Smith,male,1788,1859,1831,1847,4,0,,1,father,HoC,1,father; child; grandchild,3,0,1,father: Samuel Smith | child: Abel Smith | grandchild: Abel Henry Smith,1,"Robert Carrington, 2nd Baron Carrington",1,6467,138161,,47819,Samuel Smith,Q7412657,Elizabeth Frances Turnor,Q75432549
Q15646836,George Sinclair,George,Sinclair,male,1790,1868,1831,1841,4,0,,1,child,HoC,0,child,1,0,1,"child: Sir John Sinclair, 3rd Baronet",0,,1,7208,47072,,25617,"Sir John Sinclair, 1st Baronet",Q337499,Diana Macdonald,Q76009076
Q333452,"Charles Grant, 1st Baron Glenelg",Charles,Grant,male,1778,1866,1831,1835,3,1,,1,sibling,HoC,0,sibling,1,0,1,sibling: Robert Grant,0,,1,6832,318145,,11249,Charles Grant,Q5078364,Jane Fraser,Q75328392
Q17180499,James Alexander,James,Alexander,male,1769,1848,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Josias du Pré Alexander,0,,1,,37649,,,Robert Alexander,Q75632480,Anne McCullogh,Q75632483
Q5344160,"Edward Littleton, 1st Baron Hatherton",Edward,Littleton,male,1791,1863,1831,1835,3,0,,1,child,HoC,0,child,1,0,1,"child: Edward Littleton, 2nd Baron Hatherton",0,,1,4732,107016,,16784,Moreton Walhouse,Q75259086,Anne Craycroft Portal,Q75962557
Q7529126,Thomas Frankland Lewis,Thomas,Frankland Lewis,male,1780,1855,1831,1855,4,0,,1,child,HoC,0,child,1,0,1,child: George Cornewall Lewis,0,,1,9319,,,16605,John Lewis,Q26911793,Anne Frankland,Q76101385
Q5077724,Charles Forbes,Charles,Forbes,male,1773,1849,1831,1832,1,0,,1,child,HoC,0,child,1,0,1,child: John Forbes,0,,1,,413852,,9817,George Forbes of Lochell,Q75935982,Katherine Stewart,Q75935984
Q5081069,"Charles Morgan, 1st Baron Tredegar",Charles,Morgan,male,1792,1875,1831,1847,4,0,,1,child,HoC,1,child; sibling,4,0,1,"child: Godfrey Morgan, 1st Viscount Tredegar | child: Frederick Courtenay Morgan | sibling: Octavius Morgan",0,,1,7050,74708,,,"Sir Charles Morgan, 2nd Baronet",Q7526262,Mary Margaret Stoney,Q75350019
Q16741842,John Charles Ramsden,John,Charles Ramsden,male,1788,1836,1831,1836,3,0,,1,child,HoC,0,child,1,0,1,"child: Sir John Ramsden, 5th Baronet",0,,1,7154,61985,,,John Ramsden,Q26451743,Louisa Ingram-Shepheard,Q75269912
Q7528317,"Sir Matthew White Ridley, 3rd Baronet",Matthew,White Ridley,male,1778,1836,1831,1836,3,0,,1,child,HoC,1,child; sibling; grandchild,5,0,1,"child: Sir Matthew White Ridley, 4th Baronet | child: George Ridley | sibling: Nicholas Ridley-Colborne, 1st Baron Colborne | grandchild: Edward Ridley",0,,1,6464,75075,,,"Sir Matthew White Ridley, 2nd Baronet",Q7528316,Sarah Colborne,Q75341943
Q6258484,"John Somers-Cocks, 2nd Earl Somers",John,Somers-Cocks,male,1788,1852,1831,1841,4,0,,1,child,HoC,0,child,1,0,1,"child: Charles Somers-Cocks, 3rd Earl Somers",0,,1,3843,9425,,,"John Cocks, 1st Earl Somers",Q6226505,Margaret Nash,Q75270928
Q5928688,Hudson Gurney,Hudson,Gurney,male,1775,1864,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Richard Gurney,0,,1,,578122,,11765,Richard Gurney,Q76106799,Agatha Barclay,Q76106800
Q5076054,Charles Calvert,Charles,Calvert,male,1768,1832,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Nicolson Calvert,0,,1,,197248,,,Felix Calvert,Q75572752,Elizabeth Ladbroke,Q75572754
Q5722116,Henry Goulburn,Henry,Goulburn,male,1784,1856,1831,1856,7,1,,1,sibling,HoC,0,sibling,1,0,1,sibling: Edward Goulburn,0,,1,4146,148340,,11148,Munbee Goulburn,Q75566612,Susannah Chetwynd,Q75566611
Q26213073,John Edmund Dowdeswell,John,Edmund Dowdeswell,male,1772,1851,1831,1832,1,0,,1,child,HoC,1,child; grandchild,2,0,1,child: William Dowdeswell | grandchild: William Edward Dowdeswell,0,,1,,,,,William Dowdeswell,Q2484094,Bridget Codrington,Q75610977
Q19325553,John Martin,John,Martin,male,1774,1832,1831,1832,1,0,,1,child,HoC,0,child,1,0,1,child: John Martin,0,,1,,697505,,53427,James Martin,Q19325010,Penelope Skipp,Q76335454
Q7342746,"Robert Carew, 1st Baron Carew",Robert,Carew,male,1787,1856,1831,1834,2,0,,1,child,HoC,0,child,1,0,1,"child: Robert Carew, 2nd Baron Carew",0,,1,6627,36056,,,Robert Shapland Carew,Q26256179,Anne Pigott,Q75541341
Q7526578,"Sir Edward Kerrison, 1st Baronet",Edward,Kerrison,male,1771,1853,1831,1852,6,0,,1,child,HoC,0,child,1,0,1,"child: Sir Edward Kerrison, 2nd Baronet",0,,1,4584,27502,,15472,Matthias Kerrison,Q76373370,Mary Barnes,Q76373371
Q157259,"John Russell, 1st Earl Russell",John,Russell,male,1792,1878,1831,1861,9,1,Whigs,1,child,HoC,1,child; sibling; nephew/niece,6,0,1,"child: John Russell, Viscount Amberley | sibling: Lord Charles Russell | sibling: Francis Russell, 7th Duke of Bedford | nephew/niece: William Russell, 8th Duke of Bedford",0,,1,7180,25660,,24325,"John Russell, 6th Duke of Bedford",Q25690,Georgiana Byng,Q75261341
Q6133534,James Evan Baillie,James,Evan Baillie,male,1781,1863,1831,1834,2,0,,1,sibling,HoC,1,sibling; nephew/niece,2,0,1,sibling: Hugh Duncan Baillie | nephew/niece: Henry Baillie,0,,1,6514,667165,,107412,Evan Baillie,Q5415317,Mary Gurley,Q75516558
Q18526520,Anthony Maitland,Anthony,Maitland,male,1785,1863,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,"sibling: James Maitland, 9th Earl of Lauderdale",0,,1,,85152,,17817,"James Maitland, 8th Earl of Lauderdale",Q333300,Eleanor Todd,Q75356976
Q5076148,"Charles Cavendish, 1st Baron Chesham",Charles,Cavendish,male,1793,1863,1831,1857,8,0,,1,father,HoC,1,father; child; sibling,3,0,1,"father: George Cavendish, 1st Earl of Burlington | child: William Cavendish, 2nd Baron Chesham | sibling: Henry Cavendish",0,,1,6637,9706,,,"George Cavendish, 1st Earl of Burlington",Q337887,Lady Elizabeth Compton,Q75248587
Q7528514,"Sir Ralph Lopes, 2nd Baronet",Ralph,Lopes,male,1788,1854,1831,1854,6,0,,1,child,HoC,1,child; grandchild,3,0,1,"child: Henry Lopes, 1st Baron Ludlow | child: Sir Massey Lopes, 3rd Baronet | grandchild: Henry Lopes, 1st Baron Roborough",0,,1,6992,237637,,,Abraham Franco,Q75602311,Esther Lopes,Q76142594
Q5596904,Granville Harcourt-Vernon,Granville,Harcourt-Vernon,male,1792,1879,1831,1847,5,0,,1,child,HoC,1,child; sibling,3,0,1,child: Granville Harcourt-Vernon | sibling: George Harcourt | sibling: Francis Venables-Vernon-Harcourt,0,,1,7303,35651,,,Edward Venables-Vernon-Harcourt,Q3048710,Lady Anne Harcourt,Q21556739
Q5543927,George Robert Dawson,George,Robert Dawson,male,1790,1856,1831,1832,1,0,,1,child,HoC,0,child,1,0,1,child: Robert Peel Dawson,0,,1,,296315,,,Arthur Dawson,Q75865209,Catherine Monck,Q75865235
Q16741855,George Watson-Taylor,George,Watson-Taylor,male,1771,1841,1831,1832,1,0,,1,child,HoC,0,child,1,0,0,child: Simon Watson Taylor,0,,1,,,,,,,,
Q8008456,William Edward Powell,William,Edward Powell,male,1788,1854,1831,1854,7,0,,1,child,HoC,0,child,1,0,0,child: William Powell,0,,1,7137,,,,,,,
Q6246032,John Maberly,John,Maberly,male,1770,1845,1831,1832,1,0,,1,child,HoC,0,child,1,0,1,child: William Leader Maberly,0,,1,,330368,,,,,,
Q6107323,William Yates Peel,William,Yates Peel,male,1789,1858,1831,1847,3,0,,1,sibling,HoC,1,sibling; nephew/niece,6,0,1,sibling: Robert Peel | sibling: Edmund Peel | nephew/niece: Arthur Peel,0,,1,7114,238715,,21767,"Sir Robert Peel, 1st Baronet",Q6039510,Ellen Yates,Q75318713
Q7527637,"Sir John Buxton, 2nd Baronet",John,Buxton,male,1788,1842,1831,1832,1,0,,1,child,HoC,0,child,1,0,1,"child: Sir Robert Buxton, 3rd Baronet",0,,1,,196890,,,"Sir Robert Buxton, 1st Baronet",Q7528732,Juliana Mary Beevor,Q75529719
Q26215755,Mark Milbank,Mark,Milbank,male,1795,1881,1831,1832,1,0,,1,child,HoC,1,child; grandchild,2,0,1,child: Frederick Milbank | grandchild: Powlett Milbank,0,,1,,45778,,,William Milbank,Q75399869,Dorothy Wise,Q75399871
Q16062449,Lord James Stuart,James,Stuart,male,1794,1859,1831,1859,8,0,,1,child,HoC,0,child,1,0,1,child: James Crichton-Stuart,0,,1,7255,24006,,,"John Stuart, Lord Mount Stuart",Q275288,Elizabeth McDouall-Crichton,Q16761120
Q5537863,"George Chichester, 3rd Marquess of Donegall",George,Chichester,male,1797,1883,1831,1838,4,0,,1,sibling,HoC,1,sibling,2,0,1,sibling: Lord John Chichester | sibling: Lord Arthur Chichester,0,,1,3150,25942,,,"George Chichester, 2nd Marquess of Donegall",Q5537862,Anna May,Q75269765
Q4171078,"Richard Grosvenor, 2nd Marquess of Westminster",Richard,Grosvenor,male,1795,1869,1831,1834,2,0,,1,child,HoC,1,child; sibling; nephew/niece,5,0,1,"child: Richard Grosvenor, 1st Baron Stalbridge | child: Hugh Grosvenor, 1st Duke of Westminster | sibling: Robert Grosvenor, 1st Baron Ebury | nephew/niece: Norman Grosvenor",0,,1,9013,9270,,11670,"Robert Grosvenor, 1st Marquess of Westminster",Q4171067,Lady Eleanor Egerton,Q75248190
Q7527597,"Sir John Beckett, 2nd Baronet",John,Beckett,male,1775,1847,1831,1837,2,0,,1,sibling,HoC,1,sibling; nephew/niece,3,0,1,"sibling: Sir Edmund Beckett, 4th Baronet | nephew/niece: William Beckett-Denison",0,,1,6550,11549,,,"Sir John Beckett, 1st Bt.",Q75430766,Mary Wilson,Q75955361
Q157691,Edward Ellice,Edward,Ellice,male,1783,1863,1831,1863,9,1,,1,child,HoC,1,child; sibling,2,0,1,child: Edward Ellice | sibling: Alexander Ellice,0,,1,6443,303201,,8650,Alexander Ellice,Q75398195,Ann Russell,Q96088482
Q8008696,William Evans,William,Evans,male,1788,1856,1831,1853,6,0,,1,child,HoC,0,child,1,0,1,"child: Sir William Evans, 1st Baronet",0,,1,6762,,,,William Evans,Q76342074,Elizabeth Strutt,Q76342072
Q7526539,"Sir Edward Cust, 1st Baronet",Edward,Cust,male,1794,1878,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Peregrine Francis Cust,0,,1,,184996,,6973,"Brownlow Cust, 1st Baron Brownlow",Q4976607,Frances Bankes,Q75272928
Q7167793,Peregrine Francis Cust,Peregrine,Francis Cust,male,1791,1873,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,"sibling: Sir Edward Cust, 1st Baronet",0,,1,,13448,,,"Brownlow Cust, 1st Baron Brownlow",Q4976607,Frances Bankes,Q75272928
Q7526908,"Sir George Philips, 2nd Baronet",George,Philips,male,1789,1883,1831,1852,5,0,,1,father,HoC,0,father,1,0,1,"father: Sir George Philips, 1st Baronet",0,,1,7122,46,,,"Sir George Philips, 1st Baronet",Q16741841,,
Q7287242,Ralph Bernal,Ralph,Bernal,male,1784,1854,1831,1852,6,0,,1,child,HoC,0,child,1,0,1,child: Ralph Bernal Osborne,0,,1,3168,692863,,2233,,,,
Q7342986,Robert Clive,Robert,Clive,male,1789,1854,1831,1854,7,0,,1,child,HoC,1,child; sibling; grandchild; nephew/niece,6,0,1,"child: George Windsor-Clive | child: Robert Windsor-Clive | sibling: Edward Herbert, 2nd Earl of Powis | grandchild: George Windsor-Clive | nephew/niece: Percy Herbert",0,,1,6659,49863,,,"Edward Clive, 1st Earl of Powis",Q165770,"Henrietta Clive, Countess of Powis",Q3784877
Q5730028,"Henry Westenra, 3rd Baron Rossmore",Henry,Westenra,male,1792,1860,1831,1842,5,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: John Westenra,0,,1,6169,27345,,,"Warner Westenra, 2nd Baron Rossmore",Q7969776,Mary Ann Walsh,Q75258103
Q7794992,Thomas Wentworth Beaumont,Thomas,Wentworth Beaumont,male,1792,1848,1831,1837,3,0,,1,child,HoC,1,child; grandchild,4,0,1,"child: Somerset Beaumont | child: Wentworth Beaumont, 1st Baron Allendale | grandchild: Hubert Beaumont",0,,1,6549,46949,,1886,Thomas Richard Beaumont,Q7793500,Diana Wentworth,Q75298541
Q26213260,Richard Gurney,Richard,Gurney,male,1783,1854,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Hudson Gurney,0,,1,,657898,,,Richard Gurney,Q76106799,Rachel Hanbury,Q76106801
Q6593713,"Thomas Dundas, 2nd Earl of Zetland",Thomas,Dundas,male,1795,1873,1831,1839,4,0,,1,sibling,HoC,1,sibling; nephew/niece,3,0,1,"sibling: John Dundas | nephew/niece: Lawrence Dundas, 1st Marquess of Zetland",0,,1,3180,511391,,,"Lawrence Dundas, 1st Earl of Zetland",Q6504003,Harriot Hale,Q75239733
Q6679059,Lord Charles Spencer-Churchill,Charles,Spencer-Churchill,male,1794,1840,1831,1837,2,0,,1,sibling,HoC,1,sibling; nephew/niece,3,0,1,"sibling: George Spencer-Churchill, 6th Duke of Marlborough | nephew/niece: John Spencer-Churchill, 7th Duke of Marlborough",0,,1,6649,106143,,,"George Spencer-Churchill, 5th Duke of Marlborough",Q333347,"Susan Spencer-Churchill, Duchess of Marlborough",Q34134216
Q560595,Charles FitzRoy,Charles,FitzRoy,male,1796,1858,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Robert FitzRoy,0,,1,,10604,,9632,Lord Charles FitzRoy,Q6679043,Frances Miller-Mundy,Q75249763
Q333102,"Thomas Denman, 1st Baron Denman",Thomas,Denman,male,1779,1854,1831,1832,1,0,,1,child,HoC,0,child,1,0,1,child: George Denman,0,,1,,29504,,7495,Thomas Denman,Q5620390,Elizabeth Brodie,Q75499316
Q7342786,"Robert Carrington, 2nd Baron Carrington",Robert,Carrington,male,1796,1868,1831,1838,4,0,,1,child,HoC,1,child,3,0,1,"child: William Carington | child: Rupert Carington, 4th Baron Carrington",1,Abel Smith | George Robert Smith | John Abel Smith,1,7218,14796,,,"Robert Smith, 1st Baron Carrington",Q7349866,Anne Boldero-Barnard,Q75254694
Q5591064,"Sir Thomas Buxton, 1st Baronet",Thomas,Buxton,male,1786,1845,1831,1837,3,0,,1,child,HoC,1,child; grandchild,6,0,1,"child: Charles Buxton | child: Sir Edward Buxton, 2nd Baronet | grandchild: Thomas Fowell Buxton",0,,1,6617,195957,,4247,Thomas Fowell Buxton,Q50512227,Anna Hanbury,Q75528108
Q24568662,Paulet St. John Mildmay,Paulet,St. John Mildmay,male,1791,1845,1831,1841,3,0,,1,sibling,HoC,1,sibling; nephew/niece,2,0,1,sibling: Humphrey St John-Mildmay | nephew/niece: Humphrey St John-Mildmay,0,,1,7032,35135,,,"Sir Henry St John-Mildmay, 3rd Baronet",Q24568849,Jane Mildmay,Q75272610
Q8015892,William Mount,William,Mount,male,1787,1869,1831,1832,1,0,,1,child,HoC,1,child; grandchild,2,0,1,"child: William George Mount | grandchild: Sir William Mount, 1st Baronet",0,,1,,15354,,,William Mount,Q76082415,Jenny Page,Q76082418
Q2157350,Robert Grant,Robert,Grant,male,1779,1838,1831,1834,2,0,,1,sibling,HoC,0,sibling,1,0,1,"sibling: Charles Grant, 1st Baron Glenelg",0,,1,6835,188847,,11284,Charles Grant,Q5078364,Jane Fraser,Q75328392
Q8004277,William Alexander Mackinnon,William,Alexander Mackinnon,male,1789,1870,1831,1865,8,0,,1,child,HoC,0,child,1,0,1,child: William Alexander Mackinnon,0,,1,4852,30902,,17619,William Mackinnon,Q76076861,Harriet Frye,Q76063437
Q10305110,"James Scarlett, 1st Baron Abinger",James,Scarlett,male,1769,1844,1831,1834,2,0,,1,child,HoC,1,child,2,0,1,"child: James Yorke Scarlett | child: Robert Scarlett, 2nd Baron Abinger",0,,1,5676,115293,,24783,Robert Scarlett,Q75395063,Elizabeth Anglin,Q75395064
Q24192596,Matthias Attwood,Matthias,Attwood,male,1779,1851,1831,1847,5,0,,1,child,HoC,0,child,1,0,0,child: Matthias Wolverley Attwood,0,,1,3068,,,,,,,
Q8014397,William Leader Maberly,William,Leader Maberly,male,1798,1885,1831,1834,2,0,,1,father,HoC,0,father,1,0,1,father: John Maberly,0,,1,4819,391932,,17323,John Maberly,Q6246032,Mary Rose Leader,Q106099197
